iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
PLW,EAS,Palau,HIC,18275,26,5,10,9,15,32,1,,2,None,None,Yes,None,Yes,21503,0,0,200,0,0,11,9427,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNG,EAS,Papua New Guinea,LMC,3912,31,,,42,17,10,,,,None,Yes,Yes,Yes,None,7755785,0,0,7000,0,0,572,1000000,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,37,2,NA,NA,NA,NA
POL,ECS,Poland,HIC,33222,37,10,2,27,11,12,,0,,NA,Yes,Yes,Yes,NA,37970872,4679634,135184220,224452,1679051,0,2486818,12758213,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,16.11,NA,13.24,44.26,NA,NA,26.39,NA,NA,NA,NA
PRI,LCN,Puerto Rico,HIC,34311,13,2,10,24,19,10,,,21,NA,Yes,Yes,Yes,Yes,3473181,0,0,946,5,0,0,4170953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.5,NA,NA,14,NA,19.5,NA,NA
PRT,ECS,Portugal,HIC,34962,36,7,2,28,14,11,,1,2,Yes,Yes,Yes,Yes,NA,10269417,183064,2743219,170078,701228,0,817492,5268211,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,14.12,NA,20.68,48.97,NA,NA,16.23,NA,NA,NA,NA
PRY,LCN,Paraguay,UMC,11810,,,,,,,,,,NA,NA,Yes,NA,NA,6639119,0,0,34200,0,0,0,1818501,NA,NA,NA,NA,NA,47.2,46.6,NA,NA,NA,NA,NA,NA,NA,40.2,NA,NA,23.4,NA,NA,36.4,NA,NA,NA
PSE,MEA,West Bank and Gaza,LMC,5986,59,2,3,12,10,14,,,,Yes,Yes,Yes,NA,Yes,4046901,440000,0,0,62621,131344,4572,1387000,NA,88,NA,NA,NA,NA,91.5,92.2,NA,93,NA,NA,NA,0.5,33,NA,NA,67,NA,0.5,NA,NA,NA,Disposal site
PYF,EAS,French Polynesia,HIC,60956,47,3,3,29,16,2,,,,NA,Yes,No,No,Yes,273528,0,0,0,0,0,360,147000,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,61,NA,NA
QAT,MEA,Qatar,HIC,96262,57,4,9,5,11,14,,,,Yes,Yes,Yes,NA,No,2109568,0,9706885,29000,105000,64000,450000,1000990,NA,NA,100,NA,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,4,93,NA,NA,3,NA,NA,NA,NA
ROU,ECS,Romania,UMC,29984,56,5,3,11,11,12,,2,,Yes,Yes,Yes,Yes,Yes,19356544,1063964,162995232,132268,590300,0,915888,5419833,NA,NA,NA,NA,NA,NA,NA,87.45,NA,NA,NA,NA,NA,7.46,NA,2.37,71.96,NA,NA,5.67,NA,12.54,NA,Disposal site
RUS,ECS,Russian Federation,UMC,26013,28,17,2,19,20,14,,,,Yes,Yes,Yes,Yes,NA,143201680,0,0,1392000,110000000,0,0,60000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,4.5,NA,0.5,NA,NA
RWA,SSF,Rwanda,LIC,1951,,,,,,,,,,NA,NA,NA,NA,NA,11917508,0,0,5900,0,0,0,4384969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAU,MEA,Saudi Arabia,HIC,48921,46,4,5,3,27,11,,5,,Yes,Yes,yes,NA,NA,31557144,0,0,508000,697000,0,25207,16125701,NA,NA,100,NA,NA,NA,100,NA,NA,NA,100,NA,NA,NA,85,NA,NA,NA,NA,15,NA,NA,NA,Disposal site
SDN,SSF,Sudan,LMC,4192,51,4,2,19,12,13,,,,NA,NA,NA,NA,NA,38647804,0,0,51000,0,0,0,2831291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,18,NA,NA,NA,NA,NA
SEN,SSF,Senegal,LIC,3068,12,2,2,68,5,9,,2,,No,No,Yes,Yes,NA,15411614,0,0,15000,0,0,0,2454059,NA,NA,NA,28,NA,NA,21.4,NA,NA,NA,40,NA,NA,NA,5.1,NA,NA,43.8,4.7,NA,NA,46.4,NA,NA
SGP,EAS,Singapore,HIC,97341,11,1,19,32,15,11,2,6,4,Yes,Yes,Yes,Yes,Yes,5703600,0,1609300,100000,446870,0,0,1870000,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,37,2,NA,NA,61,NA,NA,NA,NA
SLB,EAS,Solomon Islands,LMC,2596,43,7,13,4,6,22,5,,,No,Yes,Yes,No,Yes,563513,0,0,400,0,0,273,179972,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,81,NA
SLE,SSF,Sierra Leone,LIC,1238,,,,,,,,,,NA,NA,NA,NA,NA,5439695,0,0,3400,0,0,0,610222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLV,LCN,El Salvador,LMC,7329,65,4,2,7,12,10,,,,NA,Yes,Yes,Yes,NA,6164626,0,0,30100,16465,0,0,1648996,NA,NA,NA,NA,NA,NA,78.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,7.9,NA,78.2,0.1,NA,NA
SMR,ECS,San Marino,HIC,58806,5,6,1,66,13,6,,1,2,NA,NA,NA,NA,NA,33203,0,0,0,0,0,0,17175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.05,NA,54.95,NA,NA
SOM,SSF,Somalia,LIC,1863,,,,,,,,,,NA,NA,NA,NA,NA,14317996,0,0,0,0,0,0,2326099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SRB,ECS,Serbia,UMC,18351,38,5,1,17,14,13,0,,12,Yes,Yes,Yes,Yes,NA,6944975,199453,46707848,14388,13475026,0,32888,2347402,NA,NA,NA,NA,NA,NA,70,74.67,NA,NA,NA,NA,NA,NA,NA,NA,73.91,NA,NA,0.76,NA,25.33,NA,Other
SSD,SSF,South Sudan,LIC,1796,,,,,,,,,,NA,NA,NA,NA,NA,11177490,0,0,0,0,0,0,2680681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STP,SSF,São Tomé and Príncipe,LMC,3721,,,,,,,,,,NA,NA,NA,NA,NA,191266,0,0,200,0,0,0,25587,NA,NA,NA,NA,NA,NA,48.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUR,LCN,Suriname,UMC,16954,57,3,3,24,,11,,,,No,No,No,No,No,526103,0,0,5000,0,0,1270,78620,NA,NA,15,NA,NA,NA,79.5,48.7,NA,NA,70,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,37,NA,NA
SVK,ECS,Slovak Republic,HIC,31966,42,19,2,1,25,11,,,,Yes,Yes,Yes,Yes,NA,5454073,920337,4023409,30911,375688,0,558605,2296165,NA,NA,NA,NA,NA,NA,NA,94.34,NA,NA,NA,NA,NA,7.29,NA,10.71,68.72,NA,NA,7.62,NA,5.66,NA,NA
SVN,ECS,Slovenia,HIC,39038,,,,,,,,,,NA,Yes,Yes,NA,NA,2087946,289773,2071792,26359,155229,0,227873,1052325,NA,NA,NA,NA,NA,NA,NA,93.84,NA,NA,NA,NA,NA,7.67,NA,17.06,22.68,NA,NA,46.44,NA,6.15,NA,NA
SWE,ECS,Sweden,HIC,52609,23,9,9,,36,7,,,15,Yes,Yes,Yes,NA,NA,10285453,2205186,152012352,721671,2568154,0,1315108,4618169,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,15.63,NA,51.2,0.8,NA,NA,32.37,NA,NA,NA,NA
SWZ,SSF,Eswatini,LMC,8321,,,,,,,,,,NA,NA,NA,NA,NA,1343098,0,0,5700,0,0,0,218199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SXM,LCN,Sint Maarten (Dutch part),HIC,0,46,7,7,12,15,13,,,,NA,Yes,Yes,NA,Yes,37685,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYC,SSF,Seychelles,HIC,23303,49,5,5,26,6,10,0,1,,NA,Yes,Yes,Yes,yes,88303,0,0,1100,0,0,0,48000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SYR,MEA,Syrian Arab Republic,LIC,8587,57,3,4,22,7,7,,,,NA,Yes,Yes,NA,NA,20824892,0,0,0,68000,0,4600,4500000,NA,NA,75,NA,NA,NA,74,NA,NA,NA,95,NA,NA,1.5,NA,NA,20,80,NA,2.5,NA,NA,NA,Disposal site
TCA,LCN,Turks and Caicos Islands,HIC,28174,22,21,8,2,32,16,,,,NA,NA,Yes,Yes,NA,34900,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCD,SSF,Chad,LIC,1733,70,1,2,18,3,6,,,,NA,NA,NA,NA,NA,11887202,0,0,8800,0,0,0,1358851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TGO,SSF,Togo,LIC,1404,38,2,4,42,4,10,,,,NA,Yes,Yes,No,NA,7228915,0,0,6400,1900,0,0,1109030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,96.2,NA,2,NA,NA,NA,NA
THA,EAS,Thailand,UMC,16302,66,3,2,5,8,18,0,1,,NA,Yes,Yes,Yes,NA,68657600,82230000,1100000,384233,3445000,37400000,53868,26853366,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,0.4,27,53.5,NA,19.1,NA,NA,NA,NA
TJK,ECS,Tajikistan,LIC,2616,,,,,,,,,,No,Yes,Yes,Yes,NA,8177809,0,0,0,0,0,0,1787400,NA,NA,NA,NA,NA,NA,38.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
TKM,ECS,Turkmenistan,UMC,11471,16,5,11,63,,2,,3,,No,Yes,Yes,Yes,NA,5366277,0,0,22000,1000,32300,0,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,Disposal Site
TLS,EAS,Timor-Leste,LMC,3345,44,6,10,9,11,17,4,,,NA,Yes,Yes,Yes,NA,1268671,0,0,3600,0,0,54,63875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TON,EAS,Tonga,UMC,5636,51,6,9,9,7,13,4,,,NA,Yes,Yes,Yes,NA,104951,0,0,300,0,0,102,17238,NA,NA,NA,25,NA,NA,71,NA,NA,NA,NA,65,NA,NA,NA,NA,40,NA,NA,NA,NA,60,NA,NA
TTO,LCN,Trinidad and Tobago,HIC,28911,27,10,4,17,23,19,,,,Yes,Yes,Yes,Yes,Yes,1328100,0,0,71,123914,0,251,727874,NA,NA,NA,NA,NA,NA,94.31,NA,NA,NA,NA,NA,NA,0.8,12,NA,NA,84,NA,NA,NA,3.2,NA,Disposal Site
TUN,MEA,Tunisia,LMC,10505,68,2,4,5,10,11,,,,Yes,Yes,Yes,Yes,Yes,11143908,4033000,0,90000,150000,116000,16000,2700000,NA,NA,5,NA,NA,NA,65,NA,NA,NA,80,NA,NA,5,NA,NA,70,21,NA,4,NA,NA,NA,Disposal site
TUR,ECS,Turkey,UMC,28289,64,2,1,24,6,3,,,,NA,Yes,Yes,Yes,NA,83429616,0,0,623000,3432426,0,0,35374156,NA,NA,NA,NA,NA,NA,NA,88.12,NA,NA,NA,NA,NA,1,NA,NA,NA,44,NA,NA,54,1,NA,NA
TUV,EAS,Tuvalu,UMC,3793,44,6,10,9,11,17,4,,,None,Yes,Yes,None,NA,11097,0,0,10,0,0,6,3989,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,14.5,NA,15,NA,70.5,NA,NA
TWN,EAS,NA,HIC,57363,23,4,3,14,30,20,1,,4,NA,NA,Yes,Yes,NA,23434000,0,0,14036,0,0,0,7336000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.2,34.8,NA,1,NA,NA,NA,NA,NA
TZA,SSF,Tanzania,LIC,2129,,,,,,,,,,NA,NA,Yes,NA,NA,49082996,0,0,38000,0,0,0,9276995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,22.6,NA,NA,8.5,NA,NA
UGA,SSF,Uganda,LIC,1972,75,1,1,11,6,8,,,,NA,NA,NA,NA,NA,35093648,0,0,25000,0,0,0,7045050,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,6,7,NA,NA,NA
UKR,ECS,Ukraine,LMC,11535,37,5,4,22,25,7,,,,Yes,Yes,Yes,Yes,NA,45004644,8600000,1400000,277000,448000000,587000,0,15242025,NA,NA,NA,NA,NA,NA,75.86,NA,NA,NA,NA,NA,NA,NA,NA,2.73,94.07,NA,NA,3.2,NA,NA,NA,Other
URY,LCN,Uruguay,HIC,20588,54,3,5,8,20,11,,,,No,Yes,Yes,Yes,NA,3431552,0,0,37000,0,0,0,1260140,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,100,NA,NA,NA,61.7,NA,NA,17.5,NA,8,10.5,2.3,NA,NA
USA,NAC,United States,HIC,61498,15,4,9,3,27,13,10,6,13,Yes,Yes,Yes,Yes,Yes,326687488,0,534000000,2440000,28800000,7600000000,2600000,265224528,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,12.8,52.6,NA,NA,34.6,NA,NA,NA,NA
UZB,ECS,Uzbekistan,LMC,5164,40,3,2,18,18,3,2,4,,No,Yes,Yes,Yes,NA,29774500,0,0,0,0,0,0,4000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,40,NA,Disposal site
VCT,LCN,St. Vincent and the Grenadines,UMC,11972,50,6,4,11,22,8,,,,Yes,Yes,Yes,No,Yes,109455,0,0,900,0,0,0,31561,NA,95.4,NA,NA,NA,96.2,NA,NA,NA,97.2,NA,NA,NA,0.09,NA,NA,99.91,NA,3.6,NA,NA,NA,NA,NA
VEN,LCN,"Venezuela, RB",UMC,14270,,,,,,,,,,NA,No,Yes,NA,NA,29893080,0,0,232700,123157,0,0,9779093,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VGB,LCN,British Virgin Islands,HIC,24216,7,18,9,5,34,6,,22,,Yes,Yes,Yes,Yes,Yes,20645,0,0,0,0,0,0,21099,NA,NA,NA,NA,NA,NA,97.2,NA,NA,NA,NA,NA,NA,NA,NA,80.3,NA,NA,NA,NA,NA,19.7,NA,NA
VIR,LCN,Virgin Islands (U.S.),HIC,30437,46,7,7,12,15,13,,,,NA,Yes,Yes,Yes,NA,105784,0,0,0,0,0,0,146500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VNM,EAS,Vietnam,LMC,5089,62,2,1,15,5,12,1,4,,No,Yes,Yes,Yes,NA,86932496,0,0,141000,2995154,9600000,200000,9570300,NA,NA,42.5,NA,NA,NA,72,NA,NA,NA,84,NA,NA,15,NA,NA,NA,NA,NA,23,NA,62,NA,NA
VUT,EAS,Vanuatu,LMC,3062,73,5,4,6,4,6,1,,,NA,Yes,Yes,Yes,NA,270402,0,0,300,0,0,139,70225,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,11.3,NA,37,NA,51.7,NA,NA
WSM,EAS,Samoa,UMC,6211,43,2,9,19,7,13,7,,,NA,Yes,Yes,Yes,MNRE publishes monthly environmental newsletters informing the public about solid waste activities and projects.,187665,0,0,500,0,0,36,27399,NA,NA,100,NA,NA,NA,100,NA,NA,NA,100,NA,NA,NA,31,NA,NA,NA,NA,36,NA,33,NA,NA
XKX,ECS,Kosovo,LMC,9724,42,6,6,20,8,11,,7,,Yes,Yes,Yes,Yes,NA,1801800,3880,217241,23,495,0,834,319000,NA,NA,35,NA,NA,NA,39,NA,NA,NA,100,NA,NA,NA,66.43,NA,NA,33.57,NA,NA,NA,NA,NA,NA
YEM,MEA,"Yemen, Rep.",LIC,8270,65,1,6,6,7,10,1,3,1,No,Yes,Yes,No,NA,27584212,0,0,42000,21000,0,0,4836820,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,25,NA,8,NA,47,8,Other
ZAF,SSF,South Africa,UMC,12667,16,5,17,45,9,7,,,,Yes,Yes,Yes,NA,NA,51729344,0,0,321000,1319096,0,0,18457232,NA,NA,NA,NA,NA,64,NA,NA,NA,90.5,NA,NA,NA,NA,72,NA,NA,NA,NA,28,NA,NA,NA,NA
ZMB,SSF,Zambia,LMC,3201,,,,,,,,,,NA,NA,Yes,NA,NA,14264756,0,0,15000,80000,0,0,2608268,NA,NA,NA,NA,NA,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZWE,SSF,Zimbabwe,LIC,3191,36,5,6,3,27,23,,,,NA,NA,Yes,NA,NA,12500525,0,0,13000,37346,0,0,1449752,NA,NA,NA,NA,NA,63.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,84,NA,NA
