iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
BOL,LCN,Bolivia,LMC,7984,55,3,3,23,7,10,,,,Yes,Yes,Yes,No,Yes,10724705,0,0,35392,545183,0,4683,2219052,NA,NA,5.9,NA,NA,NA,57.6,NA,NA,NA,85.4,NA,NA,0.4,0.04,NA,NA,55.52,NA,12.11,31.93,NA,NA,Source
BRA,LCN,Brazil,UMC,14596,51,2,3,17,13,14,,,,Yes,Yes,Yes,Yes,NA,208494896,0,45158165,1411900,0,0,260063,79069584,NA,NA,NA,NA,NA,NA,91.3,90.81,NA,NA,NA,NA,NA,0.2,21.88521,NA,NA,15.61932,NA,1.4,53.30547,7.59,NA,NA
BRB,LCN,Barbados,HIC,15445,18,4,5,6,20,17,12,,19,No,Yes,No,No,No,280601,0,184957,3800,9410,0,0,174815,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,9,NA,1,NA,Disposal Site
BRN,EAS,Brunei Darussalam,HIC,60866,36,3,4,15,18,16,1,1,6,NA,Yes,Yes,Yes,Yes,423196,0,0,7700,0,0,195,216253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,70,28,NA,NA
BTN,SAS,Bhutan,LMC,6743,58,4,1,7,17,13,,,,No,Yes,Yes,Yes,Yes,686958,0,0,1458,0,1476,358,111314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,1.39,98,NA,NA,NA,NA,0.86,NA,NA,NA,Source
BWA,SSF,Botswana,UMC,14126,8,,0,92,,,,,,NA,NA,NA,NA,NA,2014866,0,0,16000,0,0,2500,210854,NA,7,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,99,NA,NA
CAF,SSF,Central African Republic,LIC,823,,,,,,,,,,NA,NA,Yes,No,NA,4515392,0,0,2700,0,0,0,1105983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAN,NAC,Canada,HIC,47672,24,6,13,8,47,3,,,,Yes,Yes,Yes,Yes,Yes,35544564,181000000,653255,724000,0,1118000000,0,25103034,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,4.08,NA,3,72.33,NA,NA,20.59,NA,NA,NA,NA
CHE,ECS,Switzerland,HIC,68394,29,4,3,29,20,15,,,,NA,Yes,Yes,NA,Yes,8574832,0,6390000,184000,1200000,1470000,0,6079556,NA,NA,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,21,NA,47,NA,NA,NA,32,NA,NA,NA,NA
CHI,ECS,Channel Islands,HIC,46673,,,,,,,,,,NA,Yes,Yes,NA,NA,164541,0,0,0,0,0,0,178933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.90982659,39.21806358,16.44190751,NA,NA,NA,28.43020231,NA,NA,NA,NA
CHL,LCN,Chile,HIC,20362,53,7,2,16,12,9,,,,Yes,No,Yes,Yes,NA,16829442,0,0,176000,249755,0,0,6517000,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,0.44,85.25,0.14,NA,8.43,0.04,0.37,NA,5.33,NA,Other
CHN,EAS,China,UMC,16092,61,2,1,13,10,10,1,2,,NA,Yes,Yes,Yes,NA,1400050048,4000000000,1500000000,7211000,34652400,3270790000,0,395081376,NA,NA,20,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,3,NA,29.84,60.16,8.21,NA,NA,NA,NA,NA,At Generator level
CIV,SSF,Côte d’Ivoire,LMC,3661,,,,,,,,,,NA,Yes,Yes,Yes,NA,20401332,0,0,22000,0,0,0,4440814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,97,NA,NA
CMR,SSF,Cameroon,LMC,3263,83,0,1,10,2,3,,,,NA,NA,Yes,Yes,NA,21655716,0,0,19000,8717,0,0,3270617,NA,NA,NA,NA,NA,NA,61.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.3,NA,0.4,19.3,NA,NA,NA
COD,SSF,"Congo, Dem. Rep.",LIC,1056,,,,,,,,,,NA,NA,Yes,No,NA,78736152,0,0,0,0,0,0,14385226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,95.1,NA,NA
COG,SSF,"Congo, Rep.",LMC,4900,,,,,,,,,,No,No,Yes,No,NA,2648507,0,0,0,0,0,0,451200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2,NA,73.8,NA,NA
COL,LCN,Colombia,UMC,12523,60,2,1,16,8,13,,,,Yes,NA,No,Yes,NA,46406648,0,0,252200,270146,0,27704,12150120,NA,24.1,NA,NA,NA,NA,80.6,NA,NA,97.4,NA,NA,NA,NA,NA,NA,NA,4,NA,17.2,89,NA,NA,NA
COM,SSF,Comoros,LIC,2960,50,2,4,22,7,5,,,10,NA,NA,Yes,NA,NA,777424,0,0,600,0,0,0,91013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPV,SSF,Cabo Verde,LMC,6354,,,,,,,,,,Yes,Yes,Yes,NA,NA,513979,0,0,2400,3549,0,76,132555,NA,NA,NA,NA,NA,NA,70.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
